Repository Name,Status,Number of PRs,Average Resolution Time (hours),Median Resolution Time (hours)
Abdera,graduated,1,21727.27,21727.27
Accumulo,graduated,3521,382.63,40.43
ACE,graduated,12,433.12,29.82
ActiveMQ,graduated,1339,2232.95,52.93
activemq-apollo,graduated,10,22728.96,15418.8
Airavata,graduated,365,1245.46,16.15
Airflow,graduated,30927,397.46,19.42
Allura,graduated,8,2731.96,1388.67
Ambari,graduated,3803,600.69,18.81
ant-easyant-core,graduated,3,219.95,300.58
ant-ivy,graduated,81,3142.42,69.38
Any23,graduated,310,366.49,41.29
apex-core,graduated,604,406.32,49.46
Aries,graduated,418,2609.54,171.83
AsterixDB,graduated,23,331.55,44.52
Atlas,graduated,209,4583.49,941.57
Aurora,graduated,66,3396.66,32.66
Beam,graduated,26411,358.23,48.33
Bigtop,graduated,1107,1444.99,67.93
Bloodhound,graduated,1,12.89,12.89
Brooklyn,graduated,54,2362.75,9.08
Buildr,graduated,48,2155.97,9.95
bval,graduated,178,539.34,1.51
Calcite,graduated,3871,1074.14,128.43
CarbonData,graduated,4197,706.62,101.67
Cassandra,graduated,3244,3012.32,329.64
Cayenne,graduated,592,1444.15,63.63
Celix,graduated,504,450.94,29.71
Chukwa,graduated,7,681.65,18.78
Clerezza,graduated,21,9451.15,335.23
climate,graduated,527,214.15,25.15
CloudStack,graduated,6981,1416.02,151.36
commons-ognl,graduated,152,682.7,4.04
Cordova,graduated,32,634.19,0.53
CouchDB,graduated,3353,829.3,11.74
creadur-rat,graduated,439,411.41,58.93
Crunch,graduated,26,1673.19,110.92
cTAKES,graduated,13,7577.14,13987.57
Curator,graduated,517,4232.45,189.89
CXF,graduated,2197,399.45,14.29
DataFu,graduated,37,4942.75,260.96
db-jdo,graduated,100,478.16,98.32
Deltacloud,graduated,4,15666.17,9169.62
DeltaSpike,graduated,155,1735.06,121.24
Derby,graduated,30,66.81,66.82
DirectMemory,graduated,7,1917.14,773.28
directory-server,graduated,260,583.64,54.91
DistributedLog,graduated,184,535.16,131.67
Drill,graduated,2774,1485.92,137.2
Dubbo,graduated,7586,606.73,34.89
Eagle,graduated,995,305.5,7.81
Empire-db,graduated,13,9705.1,213.91
ESME,graduated,3,2728.22,1344.36
Falcon,graduated,403,487.8,51.14
Felix,graduated,169,3859.27,178.7
Fineract,graduated,4286,405.18,26.95
flex-sdk,graduated,41,5367.03,241.56
Flink,graduated,24886,962.16,91.59
Flume,graduated,320,5665.73,220.14
Fluo,graduated,548,227.37,20.15
FreeMarker,graduated,111,2138.26,52.84
FtpServer,graduated,4,6348.5,5641.46
Geode,graduated,7865,220.25,44.64
Geronimo,graduated,7,3793.72,3718.27
geronimo-yoko,retired,1,0.01,0.01
Giraph,graduated,125,371.09,26.33
Gora,graduated,248,1457.58,102.25
Griffin,graduated,675,440.89,14.63
Groovy,graduated,2128,554.83,35.87
guacamole-client,graduated,1008,1106.89,18.27
Hama,graduated,19,2253.47,25.41
HAWQ,graduated,1506,184.25,22.27
Helix,graduated,1766,501.88,71.28
Ignite,graduated,10824,2620.58,167.26
Impala,graduated,48,3128.17,107.32
incubator-Amaterasu,incubating,58,426.14,95.02
incubator-Annotator,incubating,77,1268.96,83.01
incubator-ariatosca,retired,229,108.97,20.08
incubator-BatchEE,incubating,9,13273.64,4170.43
incubator-BRPC,incubating,1032,1112.25,72.84
incubator-Crail,incubating,85,233.81,10.22
incubator-Daffodil,incubating,1409,404.23,52.78
incubator-DataSketches,incubating,1,0.1,0.1
incubator-DLab,incubating,1771,40.75,0.03
incubator-DolphinScheduler,incubating,8306,356.22,13.49
incubator-Doris,incubating,37895,241.86,25.93
incubator-Druid,incubating,12455,835.86,47.22
incubator-ECharts,incubating,1789,1943.74,17.26
incubator-Edgent,incubating,346,128.34,5.41
incubator-Flagon,incubating,21,1772.76,936.46
incubator-Gobblin,incubating,3661,277.31,23.74
incubator-Heron,incubating,2739,422.99,14.55
incubator-Hivemall,incubating,240,413.48,21.19
incubator-Hudi,incubating,9082,708.77,57.25
incubator-Iceberg,incubating,8395,1534.36,76.39
incubator-IoTDB,incubating,13545,158.58,14.82
incubator-Livy,incubating,350,2054.49,136.76
incubator-marvin,incubating,63,281.25,84.61
incubator-Milagro,incubating,51,676.33,2.83
incubator-MXNet,incubating,10920,352.06,43.09
incubator-Myriad,incubating,131,602.82,32.2
incubator-Nemo,incubating,334,608.55,38.28
incubator-Omid,incubating,158,1800.06,113.46
incubator-pagespeed-ngx,incubating,642,475.35,19.02
incubator-Pinot,incubating,11830,410.91,20.71
incubator-ponymail,incubating,38,622.33,295.46
incubator-Ratis,incubating,1192,367.82,31.55
incubator-retired-blur,retired,5,1945.08,741.88
incubator-retired-concerted,retired,3,13.31,5.12
incubator-retired-gearpump,retired,243,179.28,12.47
incubator-retired-horn,retired,31,50.98,1.49
incubator-retired-htrace,retired,8,12108.35,13809.06
incubator-retired-iota,retired,33,409.07,26.76
incubator-retired-mrql,retired,33,21.83,16.26
incubator-retired-openaz,retired,4,1474.74,1693.65
incubator-retired-pirk,retired,116,83.05,7.51
incubator-retired-quickstep,retired,358,142.77,25.84
incubator-retired-ripple,retired,72,947.52,253.69
incubator-retired-s4,retired,2,16237.88,16237.88
incubator-retired-slider,retired,2,625.29,625.29
incubator-retired-wave,retired,25,1147.71,167.67
incubator-Rya,incubating,312,876.19,236.26
incubator-S2Graph,incubating,183,474.06,93.63
incubator-SAMOA,incubating,71,2163.57,568.81
incubator-ShardingSphere,incubating,22865,38.31,0.85
incubator-SINGA,incubating,1120,239.29,20.16
incubator-Spot,incubating,164,2011.45,158.84
incubator-Superset,incubating,17400,483.72,36.14
incubator-Tamaya,incubating,53,1424.67,19.63
incubator-taverna-engine,incubating,6,950.69,369.77
incubator-Tephra,incubating,91,1081.27,44.36
incubator-Toree,incubating,211,1598.38,101.71
incubator-Training,incubating,112,772.8,57.36
incubator-Tuweni,incubating,435,132.4,7.57
incubator-TVM,incubating,14119,487.15,27.71
incubator-Weex,incubating,2382,261.02,3.87
Isis,graduated,2858,108.57,1.96
Jackrabbit,graduated,161,1602.72,11.92
jclouds,graduated,205,1001.81,60.79
Jena,graduated,2377,236.04,20.93
Johnzon,graduated,122,6138.37,47.31
Joshua,graduated,85,117.98,11.31
JSPWiki,graduated,354,684.48,220.03
jUDDI,graduated,52,863.46,528.16
Juneau,graduated,181,395.82,8.96
Kafka,graduated,18569,3048.77,112.01
Knox,graduated,950,790.59,25.13
Kudu,graduated,46,5313.77,2.29
Kylin,graduated,2149,477.44,41.7
Lens,graduated,23,993.99,385.2
Lenya,graduated,6,4283.42,3757.47
Libcloud,graduated,1819,1617.27,103.04
logging-log4cxx,graduated,429,226.79,26.49
logging-log4php,graduated,17,19895.1,4015.32
Lucene.NET,graduated,750,712.74,9.3
Lucy,graduated,55,1165.38,94.47
MADlib,graduated,614,266.38,115.61
ManifoldCF,graduated,90,10010.03,677.05
Marmotta,graduated,30,3133.2,85.84
Mesos,graduated,569,1892.94,25.43
MetaModel,graduated,245,519.08,93.19
Metron,graduated,1558,451.7,118.43
Mnemonic,graduated,374,164.11,20.75
MyFaces,graduated,829,99.47,2.2
myfaces-tobago,graduated,6039,52.56,4.38
mynewt-core,graduated,3117,248.39,25.3
NetBeans,graduated,5775,523.39,69.7
NiFi,graduated,9675,910.11,44.93
NPanday,retired,5,15467.23,2123.27
Nutch,graduated,819,919.73,108.28
Ode,graduated,6,521.17,154.03
OFBiz,graduated,15,2875.33,0.05
olingo-odata4,graduated,132,5561.98,597.34
OODT,graduated,124,762.02,89.69
Oozie,graduated,47,7686.12,682.23
OpenEJB,graduated,21,2759.82,1828.43
OpenJPA,graduated,95,2312.2,66.5
Openmeetings,graduated,130,199.92,16.12
OpenNLP,graduated,742,984.24,25.77
openoffice,graduated,275,1642.73,68.02
OpenWebBeans,graduated,122,1347.63,51.56
OpenWhisk,graduated,3395,535.62,60.06
openwhisk-composer,retired,62,387.54,2.06
parquet-java,graduated,1353,1304.44,185.42
PDFBox,graduated,165,4917.97,78.99
Phoenix,graduated,1924,5084.06,138.12
PhotArk,retired,1,5477.84,5477.84
Pig,graduated,30,30649.36,33881.29
PLC4X,graduated,1680,255.23,7.29
Pluto,graduated,7,4202.68,3718.2
PredictionIO,graduated,407,792.08,78.85
Pulsar,graduated,15740,584.0,42.2
Qpid,graduated,9,4303.47,416.31
Ranger,graduated,409,6449.8,155.35
Rave,graduated,23,186.96,28.19
REEF,graduated,1496,158.17,27.7
RocketMQ,graduated,4132,1986.36,66.62
Roller,graduated,137,1535.44,107.83
Samza,graduated,1664,526.51,47.21
Sanselan,graduated,1,378.54,378.54
Sentry,graduated,2,512.86,512.86
servicecomb-java-chassis,graduated,3259,119.7,18.91
ServiceMix,graduated,55,615.86,33.79
Shindig,graduated,1,25029.4,25029.4
Shiro,graduated,1870,934.3,1.35
Sirona,retired,6,4178.89,3839.81
SIS,graduated,38,1881.3,215.86
SkyWalking,graduated,5347,63.5,2.54
Sling,graduated,262,6886.52,342.51
Solr,graduated,2956,1247.4,108.36
SpamAssassin,graduated,2,5202.43,5202.43
Spark,graduated,49624,623.31,45.47
Sqoop,graduated,65,12239.91,2187.71
Stanbol,graduated,8,6530.38,1861.92
Storm,graduated,3848,1694.87,120.3
Stratos,graduated,498,140.42,7.03
Streams,graduated,542,581.21,77.45
Subversion,graduated,17,7765.41,290.28
Synapse,graduated,70,1491.44,31.14
Syncope,graduated,974,91.0,8.46
SystemML,graduated,2173,497.01,43.35
Tajo,graduated,1023,433.53,74.79
tapestry-5,graduated,45,26192.45,16659.52
Tez,graduated,328,3259.97,269.96
Thrift,graduated,3038,1245.0,62.9
Tika,graduated,2063,431.43,1.16
TinkerPop,graduated,2980,403.54,138.53
trafficcontrol,graduated,5492,526.15,36.7
trafficserver,graduated,9649,391.15,39.14
Trafodion,graduated,1850,140.71,46.82
tuscany-sca-2.x,graduated,22,3591.16,2506.01
Twill,graduated,79,607.18,22.76
uima-uimaj,graduated,327,390.66,6.28
Unomi,graduated,693,797.33,47.35
Usergrid,graduated,599,378.97,23.23
VCL,graduated,10,8719.34,286.75
VXQuery,graduated,170,478.14,90.28
Whirr,graduated,3,5866.76,270.84
Wicket,graduated,1035,624.74,30.5
Wink,graduated,3,1239.77,602.12
Wookie,graduated,5,5422.13,5141.36
XMLBeans,graduated,15,3806.02,53.54
Zeppelin,graduated,4725,990.64,108.09
zetacomponents,retired,3,17463.58,14605.7
Zipkin,retired,2397,409.27,5.56
